,City,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind_speed,Country,Date
273,Pachino,36.72,15.09,82.0,71,0,4.94,IT,1598035618
274,Sayyan,15.17,44.32,69.96,31,100,7.96,YE,1598035618
275,Nelson Bay,-32.72,152.15,54.0,62,75,19.46,AU,1598035618
276,Skibbereen,51.55,-9.27,59.0,87,75,11.41,IE,1598035618
277,Neepawa,50.23,-99.47,77.0,83,90,5.82,CA,1598035619
278,Rotherham,53.43,-1.36,66.0,78,100,3.0,GB,1598035619
279,Muros,42.78,-9.06,69.01,79,0,13.0,ES,1598035619
280,Raahe,64.68,24.48,66.2,77,0,2.24,FI,1598035619
281,Issoire,45.55,3.25,77.0,65,75,9.17,FR,1598035620
282,Doha,25.29,51.53,98.6,23,0,9.17,QA,1598035451
283,Khandyga,62.67,135.6,39.02,73,3,2.8,RU,1598035620
284,Mingoyo,-10.1,39.63,73.4,83,75,3.78,TZ,1598035621
285,Yumen,40.28,97.2,72.57,36,93,4.81,CN,1598035621
286,Gaza,31.5,34.47,82.4,69,40,5.82,PS,1598035511
287,Simbahan,6.3,120.58,83.43,75,78,8.7,PH,1598035621
288,Port Augusta,-32.5,137.77,42.8,87,91,11.41,AU,1598035455
289,Gazli,40.13,63.45,76.57,19,0,16.13,UZ,1598035622
290,Cabo San Lucas,22.89,-109.91,84.99,78,40,6.93,MX,1598035432
291,Jacmel,18.23,-72.53,91.4,59,20,12.75,HT,1598035622
292,Meulaboh,4.14,96.13,77.45,87,99,4.83,ID,1598035435
293,Malbork,54.04,19.03,80.01,65,100,9.93,PL,1598035623
294,Praia da Vitória,38.73,-27.07,73.4,73,75,6.33,PT,1598035623
295,Avarua,-21.21,-159.78,75.2,83,51,17.22,CK,1598035623
296,Kruisfontein,-34.0,24.73,55.99,84,0,1.01,ZA,1598035624
297,Morón,-34.65,-58.62,62.6,18,0,9.17,AR,1598035624
298,Guerrero Negro,27.98,-114.06,96.19,35,80,24.32,MX,1598035624
299,Lompoc,34.64,-120.46,69.8,64,75,6.93,US,1598035624
300,Pinawa,50.15,-95.88,86.92,42,70,4.36,CA,1598035625
301,Alice Springs,-23.7,133.88,46.4,39,0,4.7,AU,1598035615
302,Laas,46.62,10.7,69.8,68,40,5.82,IT,1598035625
303,Dali,25.7,100.18,61.81,84,100,2.64,CN,1598035625
304,Belyy Yar,53.6,91.39,60.8,77,75,4.47,RU,1598035626
305,Shiroishi,38.0,140.62,75.0,68,100,1.34,JP,1598035626
306,Yerbogachën,61.28,108.01,52.88,92,51,2.95,RU,1598035626
307,Lugovoy,42.95,72.76,67.5,29,0,4.07,KZ,1598035626
308,Sibolga,1.74,98.78,77.0,84,100,3.53,ID,1598035627
309,Kaeo,-35.1,173.78,48.99,3,7,5.88,NZ,1598035627
310,Chaoyang,41.57,120.46,57.58,61,0,1.88,CN,1598035627
311,Mnogovershinnyy,53.94,139.92,43.56,79,0,4.63,RU,1598035627
312,Sitka,57.05,-135.33,60.8,77,40,4.7,US,1598035628
313,Dulce Nombre de Culmí,15.1,-85.53,81.45,81,98,0.83,HN,1598035628
314,Miandrivazo,-19.52,45.47,75.27,54,5,4.61,MG,1598035628
315,San Andrés,12.58,-81.7,86.0,84,40,8.05,CO,1598035629
316,Raudeberg,61.99,5.14,61.0,94,100,19.08,NO,1598035629
317,Khovd,48.01,91.64,61.7,38,36,5.1,MN,1598035630
318,Juneau,58.3,-134.42,57.2,87,90,3.36,US,1598035080
319,Harper,4.38,-7.72,75.9,81,52,8.84,LR,1598035630
320,Bar,49.08,27.68,65.93,88,0,6.26,UA,1598035630
321,Berbera,10.44,45.01,94.05,44,100,12.57,SO,1598035630
322,Hūn,29.13,15.95,83.53,35,0,18.25,LY,1598035631
323,Maceió,-9.67,-35.74,75.2,88,75,5.82,BR,1598035631
324,Chany,55.31,76.76,50.59,94,93,6.13,RU,1598035631
325,Kampene,-3.6,26.67,73.08,79,100,3.04,CD,1598035632
326,Sembakung,3.82,117.25,74.37,96,5,2.01,ID,1598035632
327,East London,-33.02,27.91,60.58,67,0,9.95,ZA,1598035548
328,Ashti,19.38,76.23,74.59,87,100,10.76,IN,1598035633
329,Bethanien,-26.5,17.16,56.3,27,0,9.1,NA,1598035633
330,Lerwick,60.15,-1.15,59.0,93,75,3.36,GB,1598035633
331,Nhulunbuy,-12.23,136.77,68.0,94,0,3.36,AU,1598035633
332,Neiafu,-18.65,-173.98,75.2,94,20,16.71,TO,1598035634
333,Bathsheba,13.22,-59.52,87.8,74,75,11.41,BB,1598035634
334,Namatanai,-3.67,152.43,78.48,85,4,4.56,PG,1598035423
335,Coquimbo,-29.95,-71.34,59.0,62,0,10.29,CL,1598035635
336,Parry Sound,45.35,-80.03,73.0,77,40,5.01,CA,1598035533
337,Nurota,40.56,65.69,78.8,26,0,6.93,UZ,1598035635
338,Hammerfest,70.66,23.68,57.2,82,100,8.05,NO,1598035635
339,De Aar,-30.65,24.01,46.38,48,0,0.98,ZA,1598035636
340,Tautira,-17.73,-149.15,78.8,74,75,4.7,PF,1598035415
341,Cervo,43.67,-7.41,73.99,54,0,14.0,ES,1598035636
342,Söderhamn,61.3,17.06,72.0,70,100,3.0,SE,1598035637
343,Santo Antônio do Monte,-20.09,-45.29,63.59,65,39,13.24,BR,1598035637
344,Shitanjing,39.23,106.34,65.25,80,30,10.56,CN,1598035637
345,San Quintín,30.48,-115.95,85.14,51,0,10.92,MX,1598035638
346,Praia,14.92,-23.51,84.2,58,75,6.93,CV,1598035638
347,Maragogi,-9.01,-35.22,77.16,79,100,10.96,BR,1598035439
348,Sheridan,44.83,-106.92,84.99,34,1,8.05,US,1598035625
349,Villa Bruzual,9.33,-69.12,87.69,73,35,5.66,VE,1598035638
350,Charlestown,-32.95,151.67,53.01,73,55,8.99,AU,1598035639
351,Pochutla,15.74,-96.47,87.01,70,90,6.35,MX,1598035639
352,Haines Junction,60.75,-137.51,53.1,83,100,2.84,CA,1598035445
353,Severo-Kuril'sk,50.68,156.12,52.32,73,0,12.24,RU,1598035639
354,Berlevåg,70.86,29.09,57.2,82,75,11.41,NO,1598035640
355,Ulladulla,-35.35,150.47,48.0,61,0,23.04,AU,1598035640
356,Polovinnoye,54.79,65.99,52.39,95,14,4.59,RU,1598035640
357,Gachsaran,30.36,50.8,89.6,25,0,1.01,IR,1598035640
358,Knysna,-34.04,23.05,53.6,93,6,5.82,ZA,1598035547
359,Elko,41.0,-115.5,89.01,6,0,5.57,US,1598035487
360,Beringovskiy,63.05,179.32,51.57,93,100,18.63,RU,1598035641
361,Kharp,66.8,65.81,52.65,87,28,7.99,RU,1598035642
362,Dabola,10.75,-11.12,74.55,86,100,1.72,GN,1598035642
363,Hobyo,5.35,48.53,76.46,80,7,26.04,SO,1598035642
364,Stephenville,32.22,-98.2,93.2,32,40,4.7,US,1598035643
365,Beira,-19.84,34.84,71.6,68,75,20.8,MZ,1598035643
366,Dubbo,-32.25,148.62,44.6,93,75,10.29,AU,1598035643
367,Lipin Bor,60.26,37.98,59.43,83,0,5.66,RU,1598035643
368,Kawalu,-7.38,108.21,71.19,86,99,0.38,ID,1598035644
369,Kabalo,-6.05,26.92,81.64,41,0,1.43,CD,1598035644
370,Santa Marta,11.24,-74.2,89.6,70,40,6.93,CO,1598035595
371,Cap-aux-Meules,47.38,-61.86,66.2,68,90,19.46,CA,1598035644
372,Mananara,-16.17,49.77,64.98,86,8,4.34,MG,1598035645
373,Yinchuan,38.47,106.27,72.91,64,90,9.98,CN,1598035645
374,La Paz,-16.5,-68.15,62.6,23,75,13.87,BO,1598035549
375,Morgantown,39.63,-79.96,80.6,54,40,8.05,US,1598035600
376,Talnakh,69.49,88.4,57.2,87,100,6.71,RU,1598035646
377,Iquique,-20.22,-70.14,62.6,63,45,13.87,CL,1598035585
378,Esim,4.87,-2.24,75.33,87,72,7.38,GH,1598035646
379,Stornoway,58.21,-6.39,63.0,77,20,10.29,GB,1598035494
380,São João da Barra,-21.64,-41.05,71.6,64,90,13.87,BR,1598035647
381,Uthal,25.81,66.62,83.77,74,100,8.05,PK,1598035647
382,Vanimo,-2.67,141.3,78.49,86,36,5.08,PG,1598035647
383,Omboué,-1.57,9.26,74.7,78,94,9.95,GA,1598035648
384,Tacuarembó,-31.73,-55.98,54.88,44,0,6.62,UY,1598035648
385,Grand Gaube,-20.01,57.66,70.0,68,0,3.0,MU,1598035444
386,Ilhabela,-23.78,-45.36,59.77,88,100,10.96,BR,1598035649
387,Maţāy,28.42,30.78,84.81,40,0,16.08,EG,1598035649
388,Koróni,36.8,21.95,82.99,65,20,6.96,GR,1598035649
389,Okhotsk,59.38,143.3,47.66,74,8,2.82,RU,1598035649
390,Susanville,40.42,-120.65,82.99,14,1,3.36,US,1598035636
391,Kununurra,-15.77,128.73,66.2,64,78,2.08,AU,1598035650
392,Dukhovshchina,55.19,32.41,53.02,97,52,2.86,RU,1598035650
393,Pavlivka,49.44,28.46,65.86,84,0,5.64,UA,1598035650
394,Portland,45.52,-122.68,73.4,73,75,9.17,US,1598035575
395,North Platte,41.12,-100.77,90.0,40,1,8.05,US,1598035651
396,Wawa,9.9,4.42,74.93,90,100,3.36,NG,1598035651
397,Manbij,36.53,37.95,82.4,37,23,10.29,SY,1598035651
398,Kaitangata,-46.28,169.85,46.0,90,92,5.01,NZ,1598035429
399,Mangawān,24.68,81.55,77.68,86,92,13.96,IN,1598035652
400,Seoul,37.57,126.98,77.0,83,75,3.98,KR,1598035389
401,Iracoubo,5.48,-53.2,83.28,71,3,13.98,GF,1598035652
402,Qaqortoq,60.72,-46.03,59.0,44,20,6.93,GL,1598035652
403,Yulara,-25.24,130.99,48.2,42,0,8.05,AU,1598035653
404,Bama,11.52,13.69,77.47,79,20,5.23,NG,1598035653
405,Narsaq,60.92,-46.05,59.0,44,20,6.93,GL,1598035416
406,Tokur,53.13,132.9,49.8,97,100,4.21,RU,1598035654
407,Puerto Escondido,15.85,-97.07,84.2,66,75,5.82,MX,1598035654
408,Kidal,18.44,1.41,101.91,8,3,16.17,ML,1598035654
409,Ishigaki,24.34,124.16,81.12,86,100,27.42,JP,1598035383
410,Limbang,4.75,115.0,80.6,88,75,2.24,MY,1598035655
411,Severo-Yeniseyskiy,60.37,93.04,52.07,98,100,2.53,RU,1598035655
412,Khāsh,28.22,61.22,71.01,25,3,1.28,IR,1598035655
413,Mutsu,41.29,141.22,70.0,94,75,5.82,JP,1598035655
414,Panabá,21.28,-88.27,87.04,74,68,8.75,MX,1598035656
415,Salalah,17.02,54.09,77.0,100,90,4.7,OM,1598035401
416,Rio Grande City,26.38,-98.82,99.0,42,0,1.99,US,1598035651
417,Rawson,-43.3,-65.1,66.56,26,0,17.76,AR,1598035657
418,Havre-St-Pierre,50.23,-63.6,62.6,63,1,20.8,CA,1598035657
419,Le Marin,14.47,-60.87,78.8,94,40,5.82,MQ,1598035488
420,Concepción del Uruguay,-32.48,-58.24,63.0,23,0,1.99,AR,1598035657
421,Dhoraji,21.73,70.45,79.36,90,100,10.04,IN,1598035658
422,Plettenberg Bay,-34.05,23.37,56.88,82,0,4.7,ZA,1598035442
423,Mossamedes,-15.2,12.15,64.76,67,100,7.07,AO,1598035658
424,Cape Coast,5.11,-1.25,75.18,88,52,11.36,GH,1598035568
425,Melilla,35.29,-2.94,87.8,16,0,6.93,ES,1598035659
426,Alta Floresta,-9.88,-56.09,86.0,37,0,8.05,BR,1598035396
427,Taoudenni,22.68,-3.98,108.84,7,36,10.36,ML,1598035659
428,São José da Coroa Grande,-8.9,-35.15,77.61,77,100,11.14,BR,1598035660
429,Natchitoches,31.77,-93.13,91.4,43,40,3.6,US,1598035660
430,Tavda,58.04,65.27,52.9,98,36,6.02,RU,1598035660
431,Antiguo Morelos,22.55,-99.08,93.0,60,0,4.0,MX,1598035564
432,Juana Díaz,18.05,-66.51,91.99,64,98,5.99,PR,1598035661
433,Daru,-9.08,143.21,73.8,87,0,8.37,PG,1598035661
434,Merauke,-8.47,140.33,72.97,87,0,10.38,ID,1598035661
435,Coyhaique,-45.58,-72.07,59.0,38,20,4.7,CL,1598035661
436,Litovko,49.24,135.17,55.38,85,1,5.84,RU,1598035662
437,Bilma,18.69,12.92,95.4,32,85,13.4,NE,1598035662
438,Pangnirtung,66.15,-65.71,51.8,81,20,11.41,CA,1598035662
439,Carauari,-4.88,-66.9,93.65,38,0,4.83,BR,1598035663
440,Fort Nelson,58.81,-122.7,57.2,93,90,6.93,CA,1598035558
441,Lewisporte,49.25,-55.05,75.0,38,20,13.87,CA,1598035663
442,Zyryanka,65.75,150.85,38.91,73,100,12.57,RU,1598035663
443,Baghmara,23.8,86.21,80.53,82,100,2.53,IN,1598035663
444,Dergachi,51.23,48.77,58.1,73,0,8.81,RU,1598035664
445,Klaksvík,62.23,-6.59,55.4,87,100,14.99,FO,1598035664
446,Turaif,31.67,38.66,86.0,37,0,13.87,SA,1598035489
447,Saint Anthony,45.02,-93.22,86.0,54,40,12.75,US,1598035664
448,Sheffield,53.38,-1.47,66.0,78,100,3.0,GB,1598035573
449,Adrar,20.5,-10.07,99.93,21,73,20.76,MR,1598035665
450,Strezhevoy,60.73,77.59,53.6,93,90,8.95,RU,1598035665
451,Victor Harbor,-35.57,138.62,46.99,82,15,3.0,AU,1598035665
452,Nago,26.59,127.98,82.4,94,40,3.36,JP,1598035665
453,Malumfashi,11.79,7.62,71.06,89,100,4.97,NG,1598035666
454,Mindelo,16.89,-24.98,86.0,55,40,11.41,CV,1598035666
455,Karakol,42.49,78.39,53.85,64,0,2.21,KG,1598035666
456,Przhevalskoye,55.51,31.85,52.3,98,13,1.74,RU,1598035666
457,Saint-Joseph,-21.37,55.62,68.0,60,20,6.93,RE,1598035667
458,Soure,-0.72,-48.52,85.08,68,96,14.05,BR,1598035654
459,Laguna,38.42,-121.42,79.0,57,90,3.83,US,1598035667
460,Paka,4.64,103.44,75.2,94,81,4.7,MY,1598035668
461,Wanlaweyn,2.62,44.89,76.66,74,100,16.28,SO,1598035668
462,Kloulklubed,7.04,134.26,77.0,88,90,5.82,PW,1598035668
463,Olden,61.84,6.81,62.6,93,75,8.05,NO,1598035669
464,‘Ewa Beach,21.32,-158.01,82.4,65,1,4.7,US,1598035609
465,Uchaly,54.3,59.45,47.82,94,57,4.21,RU,1598035669
466,Tulsīpur,28.13,82.3,73.53,82,83,4.23,NP,1598035669
467,Methven,-43.63,171.65,45.0,99,1,3.36,NZ,1598035459
468,Kołobrzeg,54.18,15.58,81.0,47,100,10.94,PL,1598035670
469,Santa Barbara,34.42,-119.7,97.0,77,1,4.7,US,1598035378
470,Kolvereid,64.87,11.6,73.4,53,75,11.41,NO,1598035670
471,Sirte,31.21,16.59,80.46,68,0,12.62,LY,1598035438
472,Buckeye,33.37,-112.58,97.0,36,1,9.17,US,1598035482
473,Balikpapan,-1.27,116.83,76.78,87,100,2.37,ID,1598035598
474,Wau,7.7,28.0,73.83,91,97,1.72,SS,1598035671
475,Ostrovnoy,68.05,39.51,52.65,91,68,4.07,RU,1598035428
476,Quatre Cocos,-20.21,57.76,71.6,64,75,6.93,MU,1598035433
477,São Mateus,-18.72,-39.86,75.22,69,42,11.61,BR,1598035672
478,Rabo de Peixe,37.8,-25.58,77.0,78,20,5.82,PT,1598035672
479,Linxia Chengguanzhen,35.6,103.21,64.17,79,89,1.41,CN,1598035673
480,Danville,36.59,-79.39,71.01,94,90,5.82,US,1598035501
481,Beloit,42.51,-89.03,81.0,54,75,5.82,US,1598035673
482,Rome,43.21,-75.46,81.0,51,1,13.87,US,1598035422
483,Fuxin,42.02,121.66,61.7,61,0,1.63,CN,1598035674
484,Karratha,-20.74,116.85,71.01,31,0,8.95,AU,1598035674
485,Emerald,-23.53,148.17,55.4,37,0,9.17,AU,1598035674
486,Lilongwe,-13.97,33.79,68.18,50,87,5.88,MW,1598035644
487,Novokruchininskiy,51.78,113.77,59.0,93,100,0.89,RU,1598035675
488,Ola,59.58,151.28,47.32,60,99,11.74,RU,1598035514
489,Dwārka,22.24,68.97,82.74,86,100,14.41,IN,1598035675
490,Tessalit,20.2,1.01,102.58,8,16,14.72,ML,1598035676
491,San Ramon,37.78,-121.98,84.0,53,75,4.7,US,1598035442
492,Esso,55.93,158.7,46.56,82,100,5.35,RU,1598035676
493,Sørland,67.67,12.69,57.2,82,20,4.7,NO,1598035677
494,Fukuechō,32.69,128.84,82.33,84,0,11.97,JP,1598035677
495,Tupik,54.43,119.93,52.5,85,95,0.98,RU,1598035677
496,Sulangan,11.14,123.72,83.7,77,0,6.67,PH,1598035677
497,Matagami,49.75,-77.63,62.6,42,1,3.53,CA,1598035678
498,Baoding,38.85,115.49,64.17,86,0,4.38,CN,1598035678
499,Leeton,-34.57,146.4,42.8,87,40,11.41,AU,1598035678
500,Ejido,8.55,-71.24,77.38,62,65,3.38,VE,1598035678
501,Ahipara,-35.17,173.17,54.54,87,0,5.79,NZ,1598035678
502,Honiara,-9.43,159.95,75.2,100,20,2.24,SB,1598035679
503,Pombas,17.15,-25.02,86.0,55,40,11.41,CV,1598035679
504,Port Lincoln,-34.73,135.87,49.62,67,10,20.47,AU,1598035679
505,Poddor'ye,57.47,31.12,56.89,75,0,1.77,RU,1598035679
506,Mananjary,-21.22,48.33,67.68,89,0,5.82,MG,1598035680
507,Coahuayana Viejo,18.73,-103.68,77.0,78,75,5.57,MX,1598035450
508,Ballina,-28.87,153.57,54.0,81,0,8.05,AU,1598035680
509,Athabasca,54.72,-113.29,68.54,54,25,7.94,CA,1598035680
510,Sovetskiy,61.36,63.58,56.86,87,100,9.15,RU,1598035680
511,San Alberto,7.76,-73.39,85.51,70,98,3.38,CO,1598035681
512,Dahegām,23.17,72.82,80.6,94,75,4.7,IN,1598035681
513,Yei,4.09,30.68,69.28,93,100,2.19,SS,1598035681
514,Nizhniy Kuranakh,58.84,125.49,52.83,93,100,1.54,RU,1598035681
515,Salinópolis,-0.61,-47.36,83.05,74,83,12.15,BR,1598035682
516,Uíge,-7.61,15.06,75.88,47,7,1.88,AO,1598035682
517,Cartagena,10.4,-75.51,87.8,70,20,8.05,CO,1598035682
518,Tabas,33.6,56.92,98.6,12,0,4.7,IR,1598035682
519,Udachny,66.42,112.4,48.2,61,64,4.47,RU,1598035683
520,Winnemucca,40.97,-117.74,84.2,12,40,13.13,US,1598035617
521,Taunggyi,20.78,97.03,62.04,100,100,2.42,MM,1598035683
522,Boende,-0.22,20.87,74.41,92,100,1.95,CD,1598035683
523,Nanortalik,60.14,-45.24,49.71,63,0,4.23,GL,1598035684
524,Lima,-12.04,-77.03,62.6,72,75,8.05,PE,1598035682
525,Huarmey,-10.07,-78.15,67.37,64,67,8.84,PE,1598035684
526,Anori,-3.77,-61.64,101.28,22,0,6.93,BR,1598035684
527,Kampong Thom,12.71,104.89,77.11,88,100,1.01,KH,1598035685
528,Sampit,-2.53,112.95,74.62,97,100,1.9,ID,1598035685
529,Cabangahan,9.08,122.95,79.54,75,82,1.92,PH,1598035685
530,Pangody,65.85,74.49,51.3,89,7,6.76,RU,1598035685
531,Ponta Delgada,37.73,-25.67,77.0,78,20,5.82,PT,1598035686
532,Kalabo,-14.97,22.68,71.51,27,77,5.79,ZM,1598035686
533,Obo,5.4,26.49,71.06,94,100,2.62,CF,1598035686
534,Ust-Maya,60.42,134.53,38.48,76,0,2.51,RU,1598035687
535,Korčula,42.96,17.14,84.2,39,0,8.05,HR,1598035434
536,Singaparna,-7.35,108.11,69.55,84,98,0.34,ID,1598035687
537,Shizuishan,39.23,106.77,70.36,70,28,12.93,CN,1598035687
538,Salinas,36.68,-121.66,80.01,53,1,3.36,US,1598035624
539,Martapura,-3.42,114.85,77.0,94,20,5.82,ID,1598035688
540,Cuauhtémoc,28.42,-106.87,84.99,33,0,1.01,MX,1598035688
541,Ouésso,1.61,16.05,74.59,88,89,2.1,CG,1598035689
542,Ketchikan,55.34,-131.65,55.4,100,90,4.7,US,1598035515
543,City of San Pedro,14.35,121.02,80.6,88,79,3.36,PH,1598035689
544,Sorong,-0.88,131.25,77.72,84,0,5.32,ID,1598035689
545,Pimenta Bueno,-11.67,-61.19,76.46,36,53,10.65,BR,1598035469
546,Zharkent,44.16,80.0,64.58,35,0,3.76,KZ,1598035690
